AreaSize,ID,Sex,Japanese,Math,Science
,1186,1,82,50,44
,1187,1,61,44,8
,1188,2,79,58,52
,1189,2,85,86,68
,1190,2,64,31,24
,1191,1,94,81,76
,1192,1,79,72,56
,1193,2,76,47,48
,1194,1,64,61,32
,1195,2,61,50,52
,1196,2,88,67,48
,1197,2,67,56,32
,1198,2,88,81,68
,1199,1,88,83,68
,1200,1,61,53,44
,1201,1,85,67,48
,1202,2,70,53,28
,1203,2,94,86,72
,1204,2,91,58,84
,1205,1,76,58,52
,1206,2,64,72,36
,1207,2,67,56,28
,1208,,67,69,52
,1209,2,82,,64
,1210,2,55,47,28
,1211,1,91,86,64
,1212,2,58,44,44
,1213,1,88,61,48
,1214,1,85,72,72
,1215,1,64,39,20
,1216,1,64,81,72
,1217,2,91,67,60
,1218,1,82,81,68
,1219,1,82,36,36
,1220,2,36,58,24
,1221,1,85,75,68
,1222,2,67,67,40
,1223,1,79,78,48
,1224,2,45,33,32
,1225,1,70,28,28
,1226,1,67,61,36
,1227,1,67,64,56
,1228,1,79,78,52
,1229,2,91,72,64
,1230,1,94,61,56
,1231,1,85,78,68
,1232,1,91,89,72
,1233,1,88,86,76
,1234,2,85,75,76
,1235,2,85,75,72
,1236,2,58,36,16
,1237,2,88,53,32
,1238,2,52,42,12
,1239,1,76,64,52
,1240,2,88,69,60
,1241,1,36,42,28
